                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47116,                0.49572,                0.30964,                0.98116,                0.98176,                0.98309,                0.99404,                0.91234,                0.98176,                0.98309,                0.99404,                 0.9379,                0.48962,                0.46291,                0.27764,                 0.9731,              0.0013268,              0.0013268,              0.0013268
                     36,                0.47123,                0.49844,                0.30896,                0.98902,                0.98109,                 0.9852,                0.99438,                0.91265,                0.98109,                 0.9852,                0.99438,                0.94148,                0.46529,                0.43284,                0.26417,                0.92864,               0.001307,               0.001307,               0.001307
                     37,                0.46456,                 0.4831,                0.30466,                0.98258,                0.98278,                0.98943,                0.99311,                0.91058,                0.98278,                0.98943,                0.99311,                0.93672,                0.46351,                 0.4334,                0.27507,                0.95618,              0.0012872,              0.0012872,              0.0012872
                     38,                0.46278,                0.48621,                0.30179,                0.97732,                0.98943,                0.98996,                0.99393,                0.90787,                0.98943,                0.98996,                0.99393,                0.93152,                0.47706,                0.46045,                0.26944,                 0.9743,              0.0012674,              0.0012674,              0.0012674
                     39,                0.45872,                0.49436,                0.29454,                0.97096,                0.99788,                0.99489,                0.99466,                0.92171,                0.99788,                0.99489,                0.99466,                0.94237,                0.44963,                0.42299,                0.24349,                0.93575,              0.0012476,              0.0012476,              0.0012476
                     40,                0.43788,                0.47385,                0.28642,                0.97338,                 0.9879,                0.99789,                 0.9945,                0.91885,                 0.9879,                0.99789,                 0.9945,                0.94102,                0.43936,                0.43278,                0.24651,                0.94112,              0.0012278,              0.0012278,              0.0012278
                     41,                0.44383,                0.47617,                0.29115,                0.98112,                0.99636,                0.98732,                0.99474,                0.92065,                0.99636,                0.98732,                0.99474,                0.94218,                0.46793,                0.41715,                0.25871,                0.95169,               0.001208,               0.001208,               0.001208
                     42,                0.45397,                0.50084,                0.29547,                0.97433,                 0.9915,                0.98692,                0.99474,                0.91653,                 0.9915,                0.98692,                0.99474,                0.93795,                0.45364,                0.41678,                 0.2517,                0.94719,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42374,                0.46334,                0.27697,                0.96906,                0.98803,                0.99154,                0.99479,                0.91226,                0.98803,                0.99154,                0.99479,                0.93573,                 0.4582,                0.43484,                0.25679,                0.97026,              0.0011684,              0.0011684,              0.0011684
                     44,                0.44316,                0.45952,                  0.279,                0.95745,                0.99508,                0.98943,                0.99455,                0.92755,                0.99508,                0.98943,                0.99455,                0.94628,                0.44527,                0.40801,                0.24592,                0.92264,              0.0011486,              0.0011486,              0.0011486
